county_state,GOP_2020,Avg_Trump_vote,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_Deaths_Per_10K,All_Deaths_Per_10K,median_age
Sumter County_SC,0.429272294,0.429272294,58.5,62.59999847,67.80000305,70.30000305,88.40000153,41.52,380.31,36.90000153
Bristol County_MA,0.429219514,0.429219514,68.59999847,72.19999695,75.80000305,76.80000305,90.5,34.73,313.81,41
Whitman County_WA,0.429186791,0.429186791,49,50.90000153,51.90000153,51.79999924,87.5,15.04,205.13,25.5
Clackamas County_OR,0.428863049,0.428863049,70.5,74.19999695,77.30000305,78.09999847,88.59999847,17.39,299.24,41.79999924
Rock Island County_IL,0.428079695,0.428079695,60.59999847,64.40000153,68.69999695,70.30000305,88.30000305,39.89,383.81,40.59999847
Clatsop County_OR,0.427352577,0.427352577,68.5,71.90000153,75.59999847,77.09999847,88.30000305,12.2,336.76,44.79999924
Chicot County_AR,0.427004635,0.427004635,55.79999924,59.09999847,64.30000305,66.5,88.30000305,30.94,415.21,43.40000153
Harris County_TX,0.427000433,0.427000433,65,70.09999847,75.59999847,77,91,29,253.23,34.40000153
Charleston County_SC,0.426292062,0.426292062,67.59999847,71.40000153,74.40000153,75.19999695,92,42.2,437.12,39.09999847
Osceola County_FL,0.426129103,0.426129103,75,79.90000153,85.80000305,87.09999847,95,32.29,263.88,36.90000153
Jefferson County_AL,0.426097453,0.426097453,60.29999924,64.30000305,69.09999847,70.80000305,92.90000153,58.91,557.52,38.09999847
Pierce County_WA,0.426067859,0.426067859,68.09999847,72.59999847,77.19999695,78.30000305,94.80000305,20.3,302.2,36.70000076
Salt Lake County_UT,0.425322682,0.425322682,71.80000305,77.09999847,82,83.30000305,95,19.94,244.46,33.79999924
East Baton Rouge Parish_LA,0.424724519,0.424724519,57.20000076,61.09999847,65.69999695,67.30000305,93.40000153,53.76,462.72,34.90000153
Bayfield County_WI,0.42435661,0.42435661,84.59999847,88.5,91.90000153,94.19999695,95,9.19,240.2,53.70000076
Hancock County_ME,0.424118906,0.424118906,79.5,82.80000305,85.80000305,87.09999847,95,16.37,345.07,49.40000153
Boone County_MO,0.423898727,0.423898727,63.90000153,67.69999695,70.69999695,71.30000305,95,46.65,440.7,32.59999847
Oakland County_MI,0.423146069,0.423146069,67.30000305,71,75.5,76.90000153,90.40000153,43.43,370.15,41.29999924
York County_ME,0.422778219,0.422778219,82.19999695,86,89.09999847,90.30000305,95,14.96,247.73,45.09999847
Forsyth County_NC,0.422636271,0.422636271,67.5,71.5,75.90000153,78,95,52.21,512.91,38.5
La Crosse County_WI,0.42254433,0.42254433,70.90000153,74.40000153,77,77.40000153,95,43.01,446.14,36.79999924
Brunswick County_VA,0.422370404,0.422370404,55.09999847,57.59999847,60.5,62.09999847,75.69999695,10.04,277.29,44
San Luis Obispo County_CA,0.422316998,0.422316998,62.09999847,64.90000153,67.40000153,67.69999695,82.90000153,17.52,284.19,40.5
Iowa County_WI,0.422312737,0.422312737,69.90000153,73.80000305,77.69999695,79.80000305,95,14.31,258.88,43.79999924
Island County_WA,0.421808064,0.421808064,78,82.40000153,86.19999695,87,95,10.41,238.7,44
Cobb County_GA,0.420178384,0.420178384,59.90000153,63.59999847,67.80000305,69.30000305,87.59999847,26.51,268.87,37.70000076
